,Trajectory,Drug,Disease list,Disease Consensus Name List
99,394,Desogestrel,"['B36', 'D34', 'E72', 'F09', 'G90', 'I10', 'I30', 'I33', 'I60', 'I78', 'J13', 'J30', 'K73', 'L08', 'L21', 'L23', 'L29', 'L71', 'L85', 'N02', 'N04', 'C74', 'E26', 'E29', 'G37', 'G96', 'H72', 'I68', 'J35', 'K09', 'L70', 'M14', 'N03', 'N49']","['superficial mycoses', 'benign neoplasm of thyroid gland', 'disorders of amino-acid metabolism', 'organic or symptomatic mental disorder', 'disorders of autonomic nervous system', 'essential (primary) hypertension', 'acute pericarditis', 'acute and subacute endocarditis', 'subarachnoid haemorrhage', 'diseases of capillaries', 'pneumonia due to streptococcus pneumoniae', 'vasomotor and allergic rhinitis', 'chronic hepatitis', 'local infections of skin and subcutaneous tissue', 'seborrhoeic dermatitis', 'allergic contact dermatitis', 'pruritus', 'rosacea', 'epidermal thickening', 'recurrent and persistent haematuria', 'nephrotic syndrome', 'malignant neoplasm of adrenal gland', 'hyperaldosteronism', 'testicular dysfunction', 'demyelinating diseases of central nervous system', 'disorders of central nervous system', 'perforation of tympanic membrane', 'cerebrovascular disorders in diseases classified elsewhere', 'chronic diseases of tonsils and adenoids', 'cysts of oral region', 'acne', 'arthropathies in diseases classified elsewhere', 'chronic nephritic syndrome', 'inflammatory disorders of male genital organs']"
100,333_412,Epinephrine,"['K80', 'K81', 'K82']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
101,402,Tizanidine,"['C34', 'C38', 'C71', 'D43', 'J82']","['malignant neoplasm of bronchus and lung', 'malignant neoplasm of heart, mediastinum and pleura', 'malignant neoplasm of brain', 'neoplasm of uncertain or unknown behaviour of brain and central nervous system', 'pulmonary eosinophilia']"
102,261,Esomeprazole,"['N25', 'N18', 'A04', 'B02', 'N03']","['disorders resulting from impaired renal tubular function', 'chronic renal failure', 'bacterial intestinal infections', 'zoster [herpes zoster]', 'chronic nephritic syndrome']"
103,233,Parachlorophenol,"['K25', 'K26']","['gastric ulcer', 'duodenal ulcer']"
104,405,Estramustine,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
105,157_240,Aprotinin,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']"
106,3,Butorphanol,"['H73', 'K92']","['disorders of tympanic membrane', 'diseases of digestive system']"
107,103,Mitiglinide,"['K80', 'K81', 'K85']","['cholelithiasis', 'cholecystitis', 'acute pancreatitis']"
108,325,Rizatriptan,"['B37', 'J18', 'J40', 'J86', 'J93', 'B02', 'L72']","['candidiasis', 'pneumonia, organism', 'bronchitis', 'pyothorax', 'pneumothorax', 'zoster [herpes zoster]', 'follicular cysts of skin and subcutaneous tissue']"
109,379,Polaprezinc,"['F13', 'F33', 'F41', 'F43', 'F45', 'F32']","['mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'depressive episode']"
110,461,Cilostazol,"['N41', 'D40', 'N42', 'C61', 'C64']","['inflammatory diseases of prostate', 'neoplasm of uncertain or unknown behaviour of male genital organs', 'disorders of prostate', 'malignant neoplasm of prostate', 'malignant neoplasm of kidney, except renal pelvis']"
111,110,Bioallethrin,"['N18', 'D64']","['chronic renal failure', 'anaemias']"
112,13,Infliximab,"['D80', 'E61', 'G00', 'H02', 'H04', 'J01', 'K00', 'K76', 'M43', 'J35', 'J36']","['immunodeficiency with antibody defects', 'deficiency of nutrient elements', 'bacterial meningitis', 'disorders of eyelid', 'disorders of lachrymal system', 'acute sinusitis', 'disorders of tooth development and eruption', 'diseases of liver', 'deforming dorsopathies', 'chronic diseases of tonsils and adenoids', 'peritonsillar abscess']"
113,244,Somatostatin,"['L71', 'K70', 'D53', 'F05', 'G31']","['rosacea', 'alcoholic liver disease', 'nutritional anaemias', 'delirium', 'degenerative diseases of nervous system']"
114,356,Estradiol cypionate,"['B18', 'C22', 'C24', 'K73']","['chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'chronic hepatitis']"
115,3,Prasterone,"['H73', 'K92']","['disorders of tympanic membrane', 'diseases of digestive system']"
116,54,Terlipressin,"['E87', 'F10', 'F17']","['disorders of fluid, electrolyte and acid-base balance', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of tobacco']"
117,79,Tazarotene,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
118,131,Levonorgestrel,"['F11', 'F13', 'F33', 'F43', 'F60']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'reaction to severe stress, and adjustment disorders', 'specific personality disorders']"
119,131,Golimumab,"['F11', 'F13', 'F33', 'F43', 'F60']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'reaction to severe stress, and adjustment disorders', 'specific personality disorders']"
120,169,Ajmaline,"['N39', 'N41']","['disorders of urinary system', 'inflammatory diseases of prostate']"
121,27,Ponatinib,"['G40', 'G41', 'G47', 'G81', 'G91']","['epilepsy', 'status epilepticus', 'sleep disorders', 'hemiplegia', 'hydrocephalus']"
122,405,Posaconazole,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
123,189,Acitretin,"['M45', 'E13', 'D35', 'I10', 'I12', 'I72', 'I77', 'K20', 'L98', 'N05', 'I13']","['ankylosing spondylitis', 'specified diabetes mellitus', 'benign neoplasm of endocrine glands', 'essential (primary) hypertension', 'hypertensive renal disease', 'aneurysm', 'disorders of arteries and arterioles', 'oesophagitis', 'disorders of skin and subcutaneous tissue', 'minor glomerular abnormality', 'hypertensive heart and renal disease']"
124,394,Catumaxomab,"['B36', 'D34', 'E72', 'F09', 'G90', 'I10', 'I30', 'I33', 'I60', 'I78', 'J13', 'J30', 'K73', 'L08', 'L21', 'L23', 'L29', 'L71', 'L85', 'N02', 'N04', 'C74', 'E26', 'E29', 'G37', 'G96', 'H72', 'I68', 'J35', 'K09', 'L70', 'M14', 'N03', 'N49']","['superficial mycoses', 'benign neoplasm of thyroid gland', 'disorders of amino-acid metabolism', 'organic or symptomatic mental disorder', 'disorders of autonomic nervous system', 'essential (primary) hypertension', 'acute pericarditis', 'acute and subacute endocarditis', 'subarachnoid haemorrhage', 'diseases of capillaries', 'pneumonia due to streptococcus pneumoniae', 'vasomotor and allergic rhinitis', 'chronic hepatitis', 'local infections of skin and subcutaneous tissue', 'seborrhoeic dermatitis', 'allergic contact dermatitis', 'pruritus', 'rosacea', 'epidermal thickening', 'recurrent and persistent haematuria', 'nephrotic syndrome', 'malignant neoplasm of adrenal gland', 'hyperaldosteronism', 'testicular dysfunction', 'demyelinating diseases of central nervous system', 'disorders of central nervous system', 'perforation of tympanic membrane', 'cerebrovascular disorders in diseases classified elsewhere', 'chronic diseases of tonsils and adenoids', 'cysts of oral region', 'acne', 'arthropathies in diseases classified elsewhere', 'chronic nephritic syndrome', 'inflammatory disorders of male genital organs']"
125,110,Ixazomib,"['N18', 'D64']","['chronic renal failure', 'anaemias']"
126,134,Diphemanil Methylsulfate,"['M42', 'M51', 'M54', 'G54', 'M62']","['spinal osteochondrosis', 'intervertebral disk disorders', 'dorsalgia', 'nerve root and plexus disorders', 'disorders of muscle']"
127,394,Thrombin,"['B36', 'D34', 'E72', 'F09', 'G90', 'I10', 'I30', 'I33', 'I60', 'I78', 'J13', 'J30', 'K73', 'L08', 'L21', 'L23', 'L29', 'L71', 'L85', 'N02', 'N04', 'C74', 'E26', 'E29', 'G37', 'G96', 'H72', 'I68', 'J35', 'K09', 'L70', 'M14', 'N03', 'N49']","['superficial mycoses', 'benign neoplasm of thyroid gland', 'disorders of amino-acid metabolism', 'organic or symptomatic mental disorder', 'disorders of autonomic nervous system', 'essential (primary) hypertension', 'acute pericarditis', 'acute and subacute endocarditis', 'subarachnoid haemorrhage', 'diseases of capillaries', 'pneumonia due to streptococcus pneumoniae', 'vasomotor and allergic rhinitis', 'chronic hepatitis', 'local infections of skin and subcutaneous tissue', 'seborrhoeic dermatitis', 'allergic contact dermatitis', 'pruritus', 'rosacea', 'epidermal thickening', 'recurrent and persistent haematuria', 'nephrotic syndrome', 'malignant neoplasm of adrenal gland', 'hyperaldosteronism', 'testicular dysfunction', 'demyelinating diseases of central nervous system', 'disorders of central nervous system', 'perforation of tympanic membrane', 'cerebrovascular disorders in diseases classified elsewhere', 'chronic diseases of tonsils and adenoids', 'cysts of oral region', 'acne', 'arthropathies in diseases classified elsewhere', 'chronic nephritic syndrome', 'inflammatory disorders of male genital organs']"
128,398,Mequitazine,"['I31', 'G60', 'H57', 'I50', 'D52', 'F09', 'I13', 'I25', 'I99', 'J01', 'J41', 'M46']","['diseases of pericardium', 'hereditary and idiopathic neuropathy', 'disorders of eye and adnexa', 'heart failure', 'folate deficiency anaemia', 'organic or symptomatic mental disorder', 'hypertensive heart and renal disease', 'chronic ischaemic heart disease', 'disorders of circulatory system', 'acute sinusitis', 'simple and mucopurulent chronic bronchitis', 'inflammatory spondylopathies']"
129,203,Ethopropazine,"['F32', 'F48', 'B37', 'F51', 'K02', 'K04', 'K08']","['depressive episode', 'neurotic disorders', 'candidiasis', 'sleep disorders', 'dental caries', 'diseases of pulp and periapical tissues', 'disorders of teeth and supporting structures']"
130,390,Frovatriptan,"['G91', 'I60', 'D73', 'F52', 'G30', 'L28', 'E11', 'E55', 'F00', 'F05', 'H49', 'A48', 'C76', 'D34', 'H60', 'L08', 'M00', 'N04']","['hydrocephalus', 'subarachnoid haemorrhage', 'diseases of spleen', 'sexual dysfunction', ""alzheimer's disease"", 'lichen simplex chronicus and prurigo', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', ""dementia in alzheimer's disease"", 'delirium', 'paralytic strabismus', 'bacterial diseases', 'malignant neoplasm of ill-defined sites', 'benign neoplasm of thyroid gland', 'otitis externa', 'local infections of skin and subcutaneous tissue', 'pyogenic arthritis', 'nephrotic syndrome']"
131,118,Ubidecarenone,"['F70', 'D53', 'F10', 'F34', 'F05', 'G31', 'H10', 'K72', 'L21']","['mild mental retardation', 'nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'persistent mood [affective] disorders', 'delirium', 'degenerative diseases of nervous system', 'conjunctivitis', 'hepatic failure', 'seborrhoeic dermatitis']"
132,91,Glucose,"['I26', 'I80']","['pulmonary embolism', 'phlebitis and thrombophlebitis']"
133,279,Clobetasol propionate,"['C18', 'C19', 'C20', 'C48', 'K36']","['malignant neoplasm of colon', 'malignant neoplasm of rectosigmoid junction', 'malignant neoplasm of rectum', 'malignant neoplasm of retroperitoneum and peritoneum', 'appendicitis']"
134,411,Fluvastatin,"['G31', 'F10', 'F43']","['degenerative diseases of nervous system', 'mental and behavioural disorders due to use of alcohol', 'reaction to severe stress, and adjustment disorders']"
135,405,Furazolidone,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
136,151,Hydralazine,"['K20', 'K21', 'K25', 'K26', 'D62']","['oesophagitis', 'gastro-oesophageal reflux disease', 'gastric ulcer', 'duodenal ulcer', 'acute posthaemorrhagic anaemia']"
137,157_240,Busulfan,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']"
138,431,Zalcitabine,"['I65', 'N39']","['occlusion and stenosis of precerebral arteries', 'disorders of urinary system']"
139,431,Benazepril,"['I65', 'N39']","['occlusion and stenosis of precerebral arteries', 'disorders of urinary system']"
140,381,Heparin,"['J04', 'F17', 'D51', 'H49', 'J82', 'K04', 'K12']","['acute laryngitis and tracheitis', 'mental and behavioural disorders due to use of tobacco', 'vitamin b12 deficiency anaemia', 'paralytic strabismus', 'pulmonary eosinophilia', 'diseases of pulp and periapical tissues', 'stomatitis and related lesions']"
141,417,Sunitinib,"['L84', 'N25', 'N18']","['corns and callosities', 'disorders resulting from impaired renal tubular function', 'chronic renal failure']"
142,446,Bezafibrate,"['I73', 'I70', 'I74', 'I77']","['peripheral vascular diseases', 'atherosclerosis', 'arterial embolism and thrombosis', 'disorders of arteries and arterioles']"
143,451,Clopidogrel,"['I31', 'I20', 'I21']","['diseases of pericardium', 'angina pectoris', 'acute myocardial infarction']"
144,315,Oxazepam,"['I20', 'B00', 'K04']","['angina pectoris', 'herpesviral [herpes simplex] infections', 'diseases of pulp and periapical tissues']"
145,387,Bisoprolol,"['H02', 'H26']","['disorders of eyelid', 'cataract']"
146,182,Cocaine,"['C82', 'C83', 'C85']","[""follicular [nodular] non-hodgkin's lymphoma"", ""diffuse non-hodgkin's lymphoma"", ""specified types of non-hodgkin's lymphoma""]"
147,379,Silodosin,"['F13', 'F33', 'F41', 'F43', 'F45', 'F32']","['mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'depressive episode']"
148,79,Fosphenytoin,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
149,433,Apalutamide,"['B18', 'C22', 'C24']","['chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract']"
150,402,Itraconazole,"['C34', 'C38', 'C71', 'D43', 'J82']","['malignant neoplasm of bronchus and lung', 'malignant neoplasm of heart, mediastinum and pleura', 'malignant neoplasm of brain', 'neoplasm of uncertain or unknown behaviour of brain and central nervous system', 'pulmonary eosinophilia']"
151,147,Meloxicam,"['J18', 'J96', 'J15']","['pneumonia, organism', 'respiratory failure', 'bacterial pneumonia']"
152,133,Droperidol,"['G40', 'G41', 'G81', 'J69', 'F70']","['epilepsy', 'status epilepticus', 'hemiplegia', 'pneumonitis due to solids and liquids', 'mild mental retardation']"
153,244,Olmesartan,"['L71', 'K70', 'D53', 'F05', 'G31']","['rosacea', 'alcoholic liver disease', 'nutritional anaemias', 'delirium', 'degenerative diseases of nervous system']"
154,453,Norgestrel,"['I61', 'I62']","['intracerebral haemorrhage', 'nontraumatic intracranial haemorrhage']"
155,200,Menthol,"['F09', 'F63', 'F03', 'F10', 'G31', 'L21', 'D52', 'E51', 'E53', 'I62', 'J39', 'K02', 'K12', 'M46']","['organic or symptomatic mental disorder', 'habit and impulse disorders', 'dementia', 'mental and behavioural disorders due to use of alcohol', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'folate deficiency anaemia', 'thiamine deficiency', 'deficiency of b group vitamins', 'nontraumatic intracranial haemorrhage', 'diseases of upper respiratory tract', 'dental caries', 'stomatitis and related lesions', 'inflammatory spondylopathies']"
